iter	Passed	Remaining
0	5	498
1	9	446
2	13	430
3	16	400
4	21	405
5	25	397
6	30	401
7	34	398
8	38	392
9	43	392
10	47	383
11	51	380
12	55	373
13	60	369
14	64	362
15	68	357
16	72	352
17	76	347
18	80	341
19	84	336
20	88	332
21	92	328
22	96	324
23	101	320
24	105	315
25	109	311
26	114	308
27	118	305
28	123	302
29	128	298
30	131	293
31	136	289
32	139	282
33	142	276
34	145	269
35	147	262
36	150	255
37	152	249
38	155	243
39	157	236
40	159	229
41	160	221
42	162	214
43	164	209
44	167	204
45	169	198
46	171	192
47	173	188
48	175	182
49	177	177
50	180	173
51	182	168
52	185	164
53	187	159
54	189	154
55	191	150
56	194	146
57	196	142
58	199	138
59	201	134
60	204	130
61	206	126
62	208	122
63	211	118
64	213	115
65	216	111
66	218	107
67	220	103
68	222	100
69	225	96
70	227	92
71	229	89
72	231	85
73	234	82
74	236	78
75	239	75
76	241	72
77	243	68
78	245	65
79	247	61
80	250	58
81	252	55
82	254	52
83	256	48
84	258	45
85	260	42
86	262	39
87	265	36
88	267	33
89	269	29
90	271	26
91	273	23
92	276	20
93	278	17
94	280	14
95	282	11
96	284	8
97	287	5
98	289	2
99	291	0
