iter	Passed	Remaining
0	241	241203
1	248	123759
2	253	84087
3	258	64422
4	264	52539
5	268	44452
6	273	38772
7	278	34534
8	283	31212
9	288	28598
10	293	26402
11	298	24550
12	303	23032
13	307	21628
14	309	20355
15	312	19228
16	315	18219
17	317	17313
18	319	16508
19	321	15762
20	323	15079
21	325	14457
22	326	13888
23	329	13379
24	330	12882
25	331	12428
26	333	12011
27	334	11618
28	336	11250
29	337	10910
30	338	10583
31	339	10277
32	340	9989
33	342	9718
34	343	9459
35	344	9220
36	345	8995
37	346	8783
38	348	8584
39	349	8392
40	351	8220
41	352	8051
42	354	7891
43	356	7737
44	357	7587
45	359	7447
46	360	7309
47	362	7180
48	363	7063
49	365	6948
50	367	6834
51	369	6729
52	370	6622
53	372	6520
54	373	6423
55	375	6325
56	376	6230
57	378	6147
58	380	6062
59	381	5978
60	383	5897
61	384	5817
62	385	5740
63	387	5666
64	388	5595
65	390	5525
66	391	5456
67	393	5394
68	395	5330
69	396	5265
70	397	5205
71	399	5147
72	400	5090
73	402	5034
74	403	4978
75	405	4930
76	409	4906
77	411	4865
78	412	4812
79	414	4765
80	415	4718
81	417	4670
82	418	4618
83	419	4577
84	421	4537
85	423	4495
86	424	4458
87	426	4420
88	428	4381
89	430	4349
90	431	4310
91	433	4273
92	434	4237
93	436	4204
94	438	4176
95	440	4147
96	441	4114
97	443	4084
98	445	4054
99	447	4025
100	448	3994
101	450	3963
102	451	3933
103	453	3906
104	455	3883
105	457	3859
106	459	3831
107	460	3804
108	462	3779
109	463	3751
110	465	3729
111	468	3713
112	470	3695
113	472	3673
114	474	3651
115	476	3627
116	477	3602
117	479	3582
118	480	3558
119	482	3538
120	484	3520
121	485	3496
122	487	3474
123	489	3457
124	490	3436
125	492	3419
126	494	3396
127	496	3380
128	498	3368
129	501	3353
130	502	3334
131	503	3313
132	505	3292
133	506	3273
134	508	3255
135	509	3237
136	511	3219
137	512	3203
138	514	3190
139	516	3175
140	518	3158
141	519	3138
142	520	3121
143	522	3104
144	523	3088
145	525	3076
146	527	3061
147	529	3049
148	531	3034
149	532	3019
150	534	3003
151	535	2988
152	537	2973
153	538	2958
154	539	2942
155	541	2927
156	543	2916
157	545	2908
158	547	2895
159	548	2881
160	549	2866
161	551	2851
162	552	2837
163	554	2824
164	555	2812
165	557	2801
166	559	2791
167	561	2780
168	562	2767
169	564	2754
170	565	2742
171	566	2729
